shortname,longname,refname,betweenness,
U101,A38974975,38974975,0.018629147,
U609,A1767855106,1767855106,0.018065791,
U247,A321386359,321386359,0.017581373,
U10,A2328301807,2328301807,0.014974913,
U7,A483332100,483332100,0.014666702,
U8,A384932005,384932005,0.014165859,
U245,A3036141956,3036141956,0.013952095,
U106,A3803479601,3803479601,0.012828228,
U201,A2803741841,2803741841,0.011735823,
U287,A2517213950,2517213950,0.010982986,
U235,A2153152806,2153152806,0.009017061,
U698,A2415400273,2415400273,0.008484698,
U206,A3167658465,3167658465,0.008173519,
U363,A786776836,786776836,0.007586736,
U605,A486162423,486162423,0.007552655,
U714,A3810123859,3810123859,0.007308202,
U271,A3548820422,3548820422,0.006645021,
U114,A825875823,825875823,0.006532302,
U246,A568409249,568409249,0.006433568,
U113,A1553019839,1553019839,0.005018721,
,,,,
,,,,
U218,A533051511,533051511,0.007073146,
