betweenness,importance
0.334316865,39.66666667
0.325531552,26
0.316656238,1
0.269910795,14
0.264355537,1
0.255328241,1
0.248968267,2
0.229746134,27.5
0.211192867,2
0.197959511,1
0.161341775,39.66666667
0.152929865,12
0.148001926,2
0.136744832,1
0.136130549,11.75
0.131599095,12
0.119982886,1
0.119447857,1.5
0.119219907,32
0.091765783,12
0.090175408,1.666666667
0.088937557,9.4
0.087080462,14
0.080568168,13
0.079482934,11
0.078815234,8.333333333
0.078330421,20.75
0.074076095,17.2
0.072540196,12
0.070503267,1.25
0.070455638,20
0.065881897,12
0.064879013,1
0.062949807,32
0.060733935,4
0.059520715,1.333333333
0.057574488,1
0.056551424,49
0.053606467,1
0.050798568,1
0.044801738,2
0.04156028,38
0.04075637,2
0.04075637,11
0.040596122,1
0.037250058,17
0.031221623,40.5
0.030714171,1.5
0.030607339,7.25
0.028812055,32
0.026632302,1.5
0.026332834,1
0.026144437,19.42857143
0.025876467,26
0.024746338,1
0.022096398,10.5
0.020645265,21.28571429
0.020565141,11
0.020565141,27
0.020565141,1.25
0.020565141,39.66666667
0.020557128,16.16666667
0.020511725,17
0.020511725,16.6
0.020511725,49
0.020511725,1
0.020511725,26.5
0.020511725,1
0.020511725,1
0.019550238,1.428571429
0.015509766,1
0.015386846,39.66666667
0.013168155,40.5
0.013139433,28
0.010603066,8
0.010309278,1
0.010309278,38
0.010309278,2.5
0.010309278,38
0.010309278,1.5
0.010309278,28
0.010309278,2
0.010309278,1
0.010309278,29.66666667
0.010309278,38
0.010309278,49
0.010309278,26.5
0.010309278,1
0.010309278,1
0.010309278,1
0.010309278,1
0.010309278,32
0.010309278,1
0.010309278,49
0.010309278,22
0.010309278,32
0.010309278,12
0.010309278,1
0.010309278,1
0.008423695,1
0.007419921,7
0.005989009,1
0.005880418,23.75
0.005790734,4.666666667
0.005127931,3
0.005127931,32
0.004187916,49
0.002205188,49
0.002205188,1
0.001766287,1
0.000443988,12
2.67E-05,1
