shortname,longname,refname,betweenness
U101,A38974975,38974975,0.334316865
U609,A1767855106,1767855106,0.325531552
U247,A321386359,321386359,0.316656238
U10,A2328301807,2328301807,0.269910795
U7,A483332100,483332100,0.264355537
U8,A384932005,384932005,0.255328241
U245,A3036141956,3036141956,0.248968267
U106,A3803479601,3803479601,0.229746134
U201,A2803741841,2803741841,0.211192867
U287,A2517213950,2517213950,0.197959511
U235,A2153152806,2153152806,0.161341775
U698,A2415400273,2415400273,0.152929865
U206,A3167658465,3167658465,0.148001926
U363,A786776836,786776836,0.136744832
U605,A486162423,486162423,0.136130549
U714,A3810123859,3810123859,0.131599095
U271,A3548820422,3548820422,0.119982886
U114,A825875823,825875823,0.119447857
U246,A568409249,568409249,0.119219907
U407,A812299615,812299615,0.091765783
U113,A1553019839,1553019839,0.090175408
U135,A3231004341,3231004341,0.088937557
U378,A23170479,23170479,0.087080462
U412,A256692717,256692717,0.080568168
U134,A1354120181,1354120181,0.079482934
U119,A1857390350,1857390350,0.078815234
U203,A895925498,895925498,0.078330421
U214,A327414596,327414596,0.074076095
U360,A3622262372,3622262372,0.072540196
U95,A2033945746,2033945746,0.070503267
U136,A2884249863,2884249863,0.070455638
U96,A1302145719,1302145719,0.065881897
U103,A3719575513,3719575513,0.064879013
U111,A1783276120,1783276120,0.062949807
U328,A3389773360,3389773360,0.060733935
U202,A3898478698,3898478698,0.059520715
U204,A1595465532,1595465532,0.057574488
U425,A1680807465,1680807465,0.056551424
U440,A2807567247,2807567247,0.053606467
U159,A439279583,439279583,0.050798568
U216,A4165482530,4165482530,0.044801738
U527,A4124005270,4124005270,0.04156028
U46,A393035612,393035612,0.04075637
U312,A2452785645,2452785645,0.04075637
U679,A3891396601,3891396601,0.040596122
U377,A1679420385,1679420385,0.037250058
U340,A2345460195,2345460195,0.031221623
U345,A2416484731,2416484731,0.030714171
U492,A2062977016,2062977016,0.030607339
U365,A127904873,127904873,0.028812055
U411,A3843287866,3843287866,0.026632302
U458,A964581027,964581027,0.026332834
U800,A3261647162,3261647162,0.026144437
U718,A3279257076,3279257076,0.025876467
U213,A1531339765,1531339765,0.024746338
U210,A3930126543,3930126543,0.022096398
U32,A905852095,905852095,0.020645265
U64,A2892947506,2892947506,0.020565141
U491,A3348417635,3348417635,0.020565141
U504,A2946269473,2946269473,0.020565141
U722,A1859726822,1859726822,0.020565141
U678,A1345896548,1345896548,0.020557128
U44,A3986193980,3986193980,0.020511725
U160,A4115365036,4115365036,0.020511725
U326,A1732120655,1732120655,0.020511725
U342,A3191592351,3191592351,0.020511725
U349,A604530209,604530209,0.020511725
U441,A2600681841,2600681841,0.020511725
U519,A3972581484,3972581484,0.020511725
U477,A1017536864,1017536864,0.019550238
U488,A1210062900,1210062900,0.015509766
U212,A2244689014,2244689014,0.015386846
U574,A1101021964,1101021964,0.013168155
U364,A1948945052,1948945052,0.013139433
U341,A2291885035,2291885035,0.010603066
U2,A715159059,715159059,0.010309278
U30,A569826712,569826712,0.010309278
U45,A2792856754,2792856754,0.010309278
U76,A1304321680,1304321680,0.010309278
U100,A171842881,171842881,0.010309278
U104,A2567514456,2567514456,0.010309278
U115,A3726154528,3726154528,0.010309278
U133,A1619453117,1619453117,0.010309278
U153,A2706413631,2706413631,0.010309278
U161,A3669515588,3669515588,0.010309278
U172,A1815721382,1815721382,0.010309278
U233,A986039272,986039272,0.010309278
U327,A15469418,15469418,0.010309278
U344,A3365445357,3365445357,0.010309278
U380,A1072041355,1072041355,0.010309278
U419,A2023976924,2023976924,0.010309278
U455,A2473747678,2473747678,0.010309278
U467,A2774351000,2774351000,0.010309278
U484,A2925400415,2925400415,0.010309278
U496,A2763959582,2763959582,0.010309278
U525,A2187324082,2187324082,0.010309278
U567,A1227484684,1227484684,0.010309278
U589,A2424565945,2424565945,0.010309278
U768,A204568422,204568422,0.010309278
U729,A1772941037,1772941037,0.008423695
U709,A3257224121,3257224121,0.007419921
U205,A3614812788,3614812788,0.005989009
U631,A26389537,26389537,0.005880418
U575,A2559434877,2559434877,0.005790734
U422,A178517662,178517662,0.005127931
U426,A1053832375,1053832375,0.005127931
U457,A3861090052,3861090052,0.004187916
U102,A3669048335,3669048335,0.002205188
U785,A4098096768,4098096768,0.002205188
U427,A1803816912,1803816912,0.001766287
U272,A1169783448,1169783448,0.000443988
U744,A1130900979,1130900979,2.67E-05
U1,A1538685648,1538685648,0
U9,A2890467561,2890467561,0
U31,A120053518,120053518,0
U63,A2257286686,2257286686,0
U75,A1178274219,1178274219,0
U97,A2856937853,2856937853,0
U98,A2793393083,2793393083,0
U99,A453809966,453809966,0
U105,A20041353,20041353,0
U112,A344906444,344906444,0
U118,A3567042309,3567042309,0
U131,A4269216118,4269216118,0
U132,A2034536037,2034536037,0
U137,A4040322582,4040322582,0
U154,A3647725503,3647725503,0
U171,A2321074684,2321074684,0
U211,A1931485787,1931485787,0
U215,A2544817539,2544817539,0
U232,A13301498,13301498,0
U234,A2507955484,2507955484,0
U311,A2282893903,2282893903,0
U313,A1747091728,1747091728,0
U343,A2074086523,2074086523,0
U361,A3282950773,3282950773,0
U362,A983894136,983894136,0
U366,A1295003824,1295003824,0
U379,A3434508639,3434508639,0
U381,A873272013,873272013,0
U402,A3986539301,3986539301,0
U406,A242262473,242262473,0
U408,A4247824186,4247824186,0
U410,A2659357596,2659357596,0
U418,A3276463946,3276463946,0
U423,A3033728418,3033728418,0
U424,A4125376571,4125376571,0
U445,A599144899,599144899,0
U452,A3505202339,3505202339,0
U456,A4103923906,4103923906,0
U466,A1615303306,1615303306,0
U478,A1666288434,1666288434,0
U485,A1275857085,1275857085,0
U486,A3697489067,3697489067,0
U487,A3893362486,3893362486,0
U493,A708262477,708262477,0
U494,A4190165036,4190165036,0
U495,A2766172404,2766172404,0
U503,A3052191172,3052191172,0
