betweeness,importance
0.409675501,31
0.250274259,15.5
0.218092568,30.5
0.189772341,1
0.187509911,1.333333333
0.169711826,9
0.163456467,18.5
0.150626992,20
0.136508341,30.5
0.136171788,31
0.123853211,5
0.119888598,9
0.115434526,9
0.106807113,13.83333333
0.104994903,1
0.092819119,12
0.088345226,30
0.085513648,30
0.073872628,6
0.072205233,30
0.071865443,30
0.071865443,1.142857143
0.071153504,1
0.065013025,8.5
0.059675501,20
0.059081679,1
0.058025905,9
0.056525573,5.5
0.054026504,8.6
0.052050062,9
0.04853567,3
0.047345194,31
0.044642655,30
0.042766128,9
0.04133254,30
0.036527353,6.666666667
0.036527353,31
0.036527353,30.5
0.036527353,1
0.036527353,6
0.036357458,30
0.036357458,6
0.036357458,1
0.034467582,14.16666667
0.033419494,9
0.028506707,13
0.024878647,2
0.02154588,14
0.021364254,15.5
0.018348624,30
0.018348624,31
0.018348624,17.75
0.018348624,6
0.018348624,1
0.018348624,5
0.018348624,2
0.018348624,31
0.017230151,20
0.009729301,30
0.001670631,16
0.001387473,30
0.000339789,1
