shortname,longname,refname,betweenness
U218,A533051511,533051511,0.409675501
U275,A1856999246,1856999246,0.250274259
U667,A1131940169,1131940169,0.218092568
U282,A2669808667,2669808667,0.189772341
U162,A3724535659,3724535659,0.187509911
U199,A915098649,915098649,0.169711826
U279,A2202271093,2202271093,0.163456467
U281,A2156846040,2156846040,0.150626992
U286,A2962725194,2962725194,0.136508341
U259,A3282509573,3282509573,0.136171788
U239,A1560565543,1560565543,0.123853211
U511,A2501280523,2501280523,0.119888598
U278,A1676582816,1676582816,0.115434526
U728,A2633145288,2633145288,0.106807113
U760,A423256429,423256429,0.104994903
U763,A3838242688,3838242688,0.092819119
U536,A3292395061,3292395061,0.088345226
U474,A1055981550,1055981550,0.085513648
U257,A267902048,267902048,0.073872628
U108,A3198823658,3198823658,0.072205233
U142,A712040216,712040216,0.071865443
U310,A2643058163,2643058163,0.071865443
U641,A331502829,331502829,0.071153504
U509,A988160405,988160405,0.065013025
U510,A1160667975,1160667975,0.059675501
U530,A2833011810,2833011810,0.059081679
U224,A283716061,283716061,0.058025905
U304,A3505511916,3505511916,0.056525573
U784,A1669178531,1669178531,0.054026504
U285,A2256989025,2256989025,0.052050062
U258,A156603823,156603823,0.04853567
U716,A439366650,439366650,0.047345194
U274,A1039126403,1039126403,0.044642655
U513,A2260760754,2260760754,0.042766128
U554,A1541564886,1541564886,0.04133254
U4,A3315282129,3315282129,0.036527353
U140,A4185115186,4185115186,0.036527353
U238,A2071842684,2071842684,0.036527353
U725,A589091561,589091561,0.036527353
U807,A4024053152,4024053152,0.036527353
U81,A307071731,307071731,0.036357458
U260,A398134674,398134674,0.036357458
U409,A1038182690,1038182690,0.036357458
U684,A1044598291,1044598291,0.034467582
U529,A1037260580,1037260580,0.033419494
U531,A2874765790,2874765790,0.028506707
U640,A981252249,981252249,0.024878647
U555,A3626676306,3626676306,0.02154588
U261,A770526360,770526360,0.021364254
U79,A2290297293,2290297293,0.018348624
U163,A2056142684,2056142684,0.018348624
U191,A3617843828,3617843828,0.018348624
U469,A969572676,969572676,0.018348624
U551,A1711604959,1711604959,0.018348624
U628,A240018991,240018991,0.018348624
U642,A547259551,547259551,0.018348624
U731,A3903245015,3903245015,0.018348624
U512,A2199467633,2199467633,0.017230151
U448,A333508463,333508463,0.009729301
U276,A3502990892,3502990892,0.001670631
U256,A2238460219,2238460219,0.001387473
U557,A648931301,648931301,0.000339789
U3,A2879905973,2879905973,0
U80,A4188511767,4188511767,0
U107,A2877985693,2877985693,0
U141,A2251800772,2251800772,0
U143,A1953913885,1953913885,0
U164,A803166736,803166736,0
U187,A3096870348,3096870348,0
U190,A2030266367,2030266367,0
U198,A3556981605,3556981605,0
U217,A3291092348,3291092348,0
U223,A2252845148,2252845148,0
U240,A602551909,602551909,0
U241,A3074133478,3074133478,0
U280,A900679620,900679620,0
U305,A2571348801,2571348801,0
U309,A3563882371,3563882371,0
U346,A2360121322,2360121322,0
U353,A3500240032,3500240032,0
U468,A3391264132,3391264132,0
U473,A914476369,914476369,0
U508,A2860912043,2860912043,0
U518,A630652349,630652349,0
U535,A1598750229,1598750229,0
U537,A299446963,299446963,0
U552,A2722906127,2722906127,0
U553,A3459927853,3459927853,0
U556,A1123244794,1123244794,0
U610,A1190190812,1190190812,0
U629,A393817534,393817534,0
U636,A3117046697,3117046697,0
U643,A881544435,881544435,0
U647,A2325340243,2325340243,0
U715,A2980440229,2980440229,0
U717,A1788141082,1788141082,0
U726,A2461816241,2461816241,0
U727,A763694881,763694881,0
U740,A3311830643,3311830643,0
U747,A5574997,5574997,0
U762,A2721011967,2721011967,0
U775,A2326237915,2326237915,0
U778,A496936219,496936219,0
U786,A3657335672,3657335672,0
U792,A4272342830,4272342830,0
U793,A2129920319,2129920319,0
U808,A3188496109,3188496109,0
U809,A1575376083,1575376083,0
U819,A2328965162,2328965162,0
U823,A403467810,403467810,0
