user,friend
1538685648,715159059
2879905973,3315282129
2008761267,1191714842
483332100,384932005
483332100,2890467561
483332100,2328301807
1948333652,82923911
2356937947,4122019703
2356937947,3365642090
2356937947,3515391844
2356937947,183275855
1369905557,3153655575
1809934947,236194065
517270916,2995967526
517270916,3592311259
3325600533,4120847672
3325600533,2845673972
3325600533,3221482892
3325600533,3721561384
569826712,120053518
569826712,905852095
3925613292,4186528243
2048999821,1637039865
1079339663,4244109605
1079339663,3834655845
1079339663,3035853030
1079339663,414832767
3646961870,2496837007
3986193980,2792856754
3986193980,393035612
2971889961,2342735753
2971889961,2212184935
2971889961,3172189947
2393365897,3210206992
2393365897,96542289
4179324570,2817061625
4179324570,508282809
1774655165,2890295436
2164973127,2326463380
3131909049,4198845543
2257286686,2892947506
1349230619,3297493554
1349230619,639409951
1349230619,3621549603
2563679078,2583651606
3187292148,3910177999
3198504537,3318646261
1178274219,1304321680
1728055600,3591151863
2290297293,4188511767
2290297293,307071731
168764910,3554343310
168764910,2436252940
168764910,1567970024
168764910,2388007096
3198801990,2388007096
3771702031,1649320589
967361915,2692979972
282914818,2744115938
282914818,3823320698
2033945746,1302145719
2033945746,2856937853
2033945746,2793393083
2033945746,453809966
2033945746,171842881
2033945746,38974975
3669048335,3719575513
3669048335,905852095
2567514456,20041353
2567514456,3803479601
2877985693,3198823658
3680318580,1955766052
1783276120,344906444
1783276120,1553019839
1783276120,825875823
1783276120,3726154528
2545657612,522776668
3567042309,1857390350
1292417817,651240040
1292417817,3815063730
3507534894,499079668
322814221,985547042
1834669948,2255113076
3909997753,43026617
4269216118,3719575513
2034536037,1619453117
1354120181,3231004341
1354120181,2884249863
4040322582,38974975
995603012,3442212683
4185115186,2251800772
4185115186,712040216
4185115186,1953913885
352769719,2102662137
2787637778,2340199364
1038432983,1309915074
1875891307,1666085128
1875891307,2614389627
2706413631,2884249863
2706413631,3647725503
1484078818,4109397627
1747471686,1126868438
439279583,4115365036
439279583,3669515588
439279583,384932005
3198823658,3724535659
3198823658,2056142684
3198823658,2877985693
3198823658,803166736
3685921102,3080858756
3685921102,4278168842
3175354507,2467980416
4236494,1666085128
2321074684,1815721382
2903662804,2464597212
2903662804,2856945250
2903662804,1912698965
2903662804,1625052108
2903662804,3138635490
2903662804,2771438232
2903662804,3069569833
2903662804,2849010050
2903662804,3835637004
2903662804,107783241
2903662804,4042546595
810608905,2895220130
3096870348,2056142684
4157365314,4020164258
2030266367,3617843828
3592311259,517270916
3835637004,4239920443
3835637004,2903662804
3835637004,1625052108
3835637004,2771438232
3835637004,2849010050
2679652649,3186577794
2856945250,2903662804
1933513142,282487230
3751635372,3318646261
3751635372,2692979972
3556981605,915098649
2845673972,1184737011
2845673972,3325600533
2803741841,3898478698
2803741841,895925498
2803741841,1595465532
2803741841,3614812788
2803741841,38974975
2803741841,3167658465
4137863751,1967689783
4137863751,1652448351
3930126543,1931485787
3930126543,2244689014
3930126543,1531339765
327414596,3614812788
327414596,2544817539
327414596,3803479601
327414596,1302145719
327414596,4165482530
3291092348,533051511
1851530247,292529766
2728047278,4135589149
2252845148,283716061
1230559341,635462786
1230559341,2543824082
642317092,1287850161
3548214416,917421982
2340199364,2787637778
13301498,986039272
2507955484,2153152806
206173756,2777195317
4186528243,3925613292
2071842684,1560565543
2071842684,602551909
2071842684,3074133478
2863143805,2378571713
516841937,282487230
2793393083,2033945746
3803479601,3036141956
3803479601,2567514456
3803479601,1815721382
3803479601,327414596
3803479601,568409249
3803479601,321386359
1166204486,551538117
1815238419,1566021834
709445936,2458429643
544449933,3527940337
3210206992,2393365897
2238460219,267902048
2238460219,156603823
3282509573,533051511
3282509573,915098649
3282509573,398134674
3282509573,770526360
3631889944,882525479
3631889944,3530946278
3631889944,2713603391
738525400,1197154185
738525400,508837021
3318646261,3198504537
3318646261,3751635372
3642118045,2962003608
1595465532,2153152806
1595465532,3548820422
1595465532,2803741841
1595465532,1169783448
4278168842,681010476
4278168842,3685921102
1039126403,1856999246
1039126403,3502990892
1039126403,915098649
836628838,3554343310
1676582816,2202271093
1676582816,900679620
1676582816,2156846040
1676582816,267902048
1676582816,2669808667
2480816831,4201750807
2202271093,283716061
2202271093,2256989025
2202271093,2962725194
2202271093,1676582816
2202271093,2669808667
384932005,439279583
384932005,2517213950
384932005,483332100
35629376,2624413719
35629376,925172794
736262792,3934266336
413292015,3943175229
458389001,653909548
3460014666,522776668
893322374,2680823346
1725995841,217443195
4044282675,185422302
267902048,3505511916
267902048,2571348801
267902048,3724535659
267902048,2238460219
267902048,1676582816
3842862938,2148913954
882525479,1717882536
882525479,3631889944
882525479,2713603391
3563882371,2643058163
3035853030,1079339663
3153655575,1369905557
3153655575,4020164258
2282893903,2452785645
1747091728,568409249
2436252940,168764910
2436252940,2388007096
2543824082,1230559341
2593432040,1965944390
3043291654,2984260178
3043291654,2694023881
3043291654,2222162186
1236336671,2033574675
1236336671,331982192
3297493554,3621549603
3297493554,1349230619
2436389418,3530946278
769376177,3903823612
1732120655,15469418
1732120655,3389773360
3469589500,4262496040
363577443,1747042580
2458068456,2458429643
4020164258,4157365314
4020164258,2316950688
4020164258,3153655575
4020164258,2694809416
3643380555,3676872343
4151484001,4168402703
2345460195,1857390350
2345460195,2892947506
2345460195,2291885035
2345460195,3191592351
2074086523,3365445357
1619453117,2416484731
1619453117,2034536037
2360121322,770526360
3826739942,2081059890
985547042,322814221
986039272,13301498
986039272,604530209
2022308068,2330978075
2022308068,167200370
3500240032,2669808667
2712853779,3210719423
3799854455,988213942
3799854455,2694023881
3866177358,3041198590
3036141956,3622262372
3036141956,3282950773
3036141956,983894136
3036141956,786776836
3036141956,1948945052
3036141956,38974975
3036141956,3803479601
3036141956,825875823
127904873,1553019839
127904873,2244689014
127904873,1295003824
809834239,2010045207
809834239,2342735753
1649320589,608372256
1649320589,3771702031
1372842685,1985852583
571210795,4118821425
3799386472,3442212683
3799386472,898918449
3799386472,649114603
1679420385,3622262372
1679420385,23170479
1679420385,3434508639
1072041355,3622262372
1072041355,873272013
3647725503,2706413631
3037654114,147852768
4118821425,571210795
3941958556,2667370728
344906444,1783276120
1741814612,1221420614
351713549,1008893291
616227847,1104038607
1170938005,4176403253
81458678,2940917694
81458678,3641159022
81458678,1344492095
2223714757,67249956
2223714757,3770864710
2223714757,2496550100
171842881,2033945746
171842881,3986539301
3118355226,167200370
185422302,4044282675
4136285322,67249956
2127416756,2962003608
3622262372,242262473
3622262372,1072041355
3622262372,3036141956
3622262372,812299615
3622262372,1679420385
3622262372,825875823
4247824186,2153152806
3617843828,2030266367
3617843828,1038182690
2659357596,812299615
3843287866,256692717
3843287866,3719575513
4133514703,2560745948
4133514703,447504709
1421630185,1871580056
3276463946,2023976924
3670434254,3822987687
568409249,178517662
568409249,3033728418
568409249,4125376571
568409249,3803479601
568409249,1680807465
568409249,812299615
568409249,1053832375
568409249,1803816912
568409249,1747091728
3084096535,3890676452
3084096535,4054029300
479907067,2381922770
2381922770,479907067
3833491880,1107746429
3833491880,4138013784
3616798795,3442212683
3616798795,631446479
3616798795,3261632504
3616798795,1555879260
23170479,1302145719
23170479,2807567247
23170479,2600681841
23170479,1679420385
82923911,1948333652
3427263623,1210853041
3427263623,486871070
3167658465,321386359
3167658465,825875823
3167658465,599144899
3167658465,2803741841
873272013,1072041355
98054194,2217177799
770526360,2360121322
770526360,3282509573
770526360,333508463
3504868122,1821733300
2643058163,3315282129
2643058163,3563882371
2643058163,2669808667
1566021834,1815238419
2884249863,2706413631
2884249863,393035612
2884249863,1354120181
3365642090,3814621161
3365642090,4122019703
3365642090,2356937947
3365642090,3515391844
3505202339,1553019839
2791418962,551538117
1821733300,3504868122
1821733300,1528359455
2473747678,895925498
2473747678,4103923906
3898478698,2023976924
3898478698,3861090052
3898478698,2803741841
3898478698,964581027
2630238456,395811323
2630238456,439316726
2571348801,267902048
2467980416,2010045207
2467980416,3175354507
3338007773,2963121670
2312878118,694221975
1615303306,2774351000
3391264132,969572676
1507678209,1463808662
3043278753,2692979972
914476369,1055981550
2971846635,2217853337
2291885035,1017536864
2291885035,2345460195
2291885035,1666288434
1923507186,2105508317
2243396544,4244109605
2626409021,3943175229
2626409021,1104375072
38974975,2925400415
38974975,3389773360
38974975,2153152806
38974975,2033945746
38974975,3036141956
38974975,2803741841
38974975,1275857085
38974975,3697489067
38974975,812299615
38974975,3893362486
38974975,4040322582
38974975,1210062900
38974975,4165482530
1134784132,2116203935
3903823612,769376177
3348417635,2062977016
3348417635,708262477
3348417635,4190165036
2766172404,2763959582
2677559053,3811264923
2928822295,4030798150
916547437,2134808475
3052191172,2946269473
3527940337,544449933
3527940337,1073821707
3527940337,272886293
4135589149,2728047278
651240040,1292417817
651240040,4036343234
715159059,2600681841
715159059,1538685648
3724535659,2156846040
3724535659,267902048
3724535659,2860912043
3724535659,156603823
3724535659,988160405
3724535659,3198823658
1160667975,533051511
1160667975,2501280523
2199467633,2260760754
2199467633,915098649
2199467633,3502990892
2501052021,1287850161
1073821707,3527940337
2890467561,483332100
320000323,4081761804
2856937853,2033945746
2963121670,552316934
2963121670,3338007773
2995967526,517270916
630652349,1055981550
3389773360,3972581484
3389773360,38974975
3389773360,1732120655
28806872,2411451936
4055395044,263599897
2153152806,1595465532
2153152806,306422496
2153152806,2507955484
2153152806,3548820422
2153152806,4247824186
2153152806,38974975
2153152806,2187324082
2153152806,1680807465
2153152806,3365445357
2153152806,199379035
2153152806,4124005270
2378571713,3415673411
2378571713,2863143805
1037260580,2833011810
1037260580,156603823
1037260580,2874765790
1104375072,3943175229
1104375072,2949537983
1104375072,2626409021
3676872343,2764881224
608372256,221442949
608372256,1649320589
1598750229,1055981550
712040216,4185115186
712040216,3292395061
712040216,299446963
1295003824,127904873
2761832946,1386311924
3943175229,1104375072
3943175229,2626409021
3943175229,567820539
3943175229,413292015
3943175229,2949537983
653909548,458389001
1615717851,3850128249
419456233,1011223331
336493147,499079668
336493147,2690867178
2217853337,2971846635
900897870,532589341
1912698965,2903662804
1912698965,2464597212
883237232,3492585943
1711604959,2722906127
1711604959,533051511
3459927853,533051511
1541564886,3626676306
1541564886,915098649
1541564886,1123244794
1541564886,648931301
1579613783,1941314046
1625052108,2903662804
1625052108,3138635490
1625052108,2771438232
1625052108,2849010050
1625052108,3835637004
1625052108,4042546595
3681459280,132341149
3172189947,2971889961
2818464367,1965944390
2690867178,336493147
242262473,3622262372
570405433,2660754061
3669515588,439279583
3669515588,2483584418
1233774081,1227484684
3231004341,786776836
3231004341,1354120181
1221271987,2148913954
2156846040,1856999246
2156846040,3724535659
2156846040,1676582816
1871580056,1421630185
1452056386,1525918364
1452056386,4262496040
2925400415,335269852
2222162186,2694023881
3464554032,245442083
1101021964,2559434877
1101021964,3548820422
681010476,533192042
681010476,1749528606
681010476,3080858756
681010476,4278168842
326930040,1171363794
1749528606,681010476
1985852583,1372842685
4199616576,2496837007
3822987687,3670434254
2694023881,2644859372
2694023881,3799854455
2694023881,3043291654
2694023881,2222162186
167200370,3118355226
167200370,2022308068
167200370,4205646791
167200370,1761058217
167200370,4145252615
4145252615,1619040661
4145252615,167200370
4145252615,1535643599
1955766052,3680318580
1023717643,256692717
2483584418,3669515588
364700925,15469418
3069569833,2903662804
2424565945,1620608449
2424565945,3972581484
2342735753,809834239
2342735753,2971889961
3890676452,1115249498
1996678705,41934198
3033728418,568409249
2023976924,964581027
2023976924,3898478698
2023976924,3276463946
2700330302,2888420415
1832146052,1553019839
3172450732,1433939064
3833637800,4070008434
567820539,2949537983
567820539,3943175229
1197154185,3410532659
1197154185,508837021
1197154185,738525400
1123244794,1541564886
1540524189,2187324082
2888420415,2700330302
2660754061,570405433
1462984861,2914443596
1017536864,486162423
1017536864,2291885035
3787931088,2040340167
374464774,1767855106
3315282129,1190190812
3315282129,2643058163
3315282129,2879905973
1666288434,2291885035
1747042580,363577443
1302145719,23170479
1302145719,2033945746
1302145719,327414596
2694809416,4020164258
2792856754,3986193980
2792856754,2023721073
4190165036,3348417635
1935452377,97374877
1935452377,1707278925
1935452377,310296684
1152125988,3987610774
880096064,2212184935
880096064,1433939064
1528359455,1821733300
1528359455,3811264923
1767855106,4107349498
1767855106,1531339765
1767855106,1304321680
1767855106,374464774
1767855106,321386359
1767855106,2328301807
1404395751,1949443459
4122019703,3365642090
4122019703,2356937947
45139176,1748492203
45139176,2878084097
45139176,1761058217
2244689014,127904873
2244689014,3930126543
1531339765,1767855106
1531339765,3930126543
1620608449,2424565945
3815063730,1292417817
351313256,397493741
1304321680,1767855106
1304321680,1178274219
1304321680,2328301807
3867241412,486871070
4201750807,2480816831
240018991,393817534
240018991,2833011810
4205646791,167200370
1761058217,1748492203
1761058217,2411451936
1761058217,1328697582
1761058217,45139176
1761058217,167200370
3861090052,26389537
3861090052,3898478698
321386359,1767855106
321386359,1815721382
