user,event
A3044012,E2529072432
A4236494,E152418051
A4236494,E4203627753
A4236494,E799782433
A5574997,E941853303
A7547671,E1228445722
A10329108,E40254649
A13301498,E3950787980
A13301498,E3499428374
A13301498,E907302600
A13301498,E457253413
A14411090,E753115138
A14411090,E1073827062
A15469418,E3234409400
A16210231,E821546192
A16210231,E2325542576
A16210231,E4197279783
A19283444,E3789409122
A20041353,E813808366
A22840021,E2768891421
A23150045,E735593165
A23170479,E2776357538
A23170479,E1390707377
A23170479,E2529072432
A23170479,E2142755647
A23170479,E813650546
A23170479,E1532377761
A23170479,E861118590
A23170479,E3632072502
A23170479,E1044854627
A23170479,E955398943
A23170479,E1600413013
A24978365,E2624370380
A26389537,E1600413013
A26389537,E955398943
A26389537,E1532377761
A26389537,E1044854627
A28806872,E915403718
A29002074,E965748273
A33930603,E156494494
A33966018,E2608593001
A35629376,E2828969498
A38974975,E2529072432
A38974975,E955398943
A38974975,E1600413013
A38985694,E3028393247
A38985694,E297891426
A41934198,E2367196896
A43026617,E4203627753
A45139176,E1488068589
A45148230,E3459643094
A47659843,E1269035551
A48380986,E3331390995
A50457238,E910169576
A50457238,E1816813281
A51165908,E955398943
A51165908,E602394192
A51165908,E1600413013
A51165908,E1294433853
A57075229,E2717795664
A57075229,E1820037082
A61814256,E3731945988
A65801702,E3781958177
A65801702,E3127693636
A65801702,E4135207140
A65801702,E3751969407
A65801702,E2057068023
A66260844,E2237079226
A66260844,E2980258101
A67249956,E4125420656
A69302861,E2800586555
A70152834,E844299203
A70152834,E2529072432
A70152834,E955398943
A70152834,E1532377761
A70585535,E1566556513
A71688472,E2841665850
A71688472,E2110243278
A71688472,E3084061084
A71688472,E3175036170
A72298333,E952519340
A72298333,E1844176380
A73288922,E3413747696
A78065188,E2913407142
A78065188,E2806565970
A80379054,E3850950041
A81458678,E969179478
A81458678,E1533177888
A82610705,E2940654356
A82610705,E2913407142
A82610705,E2114371180
A82923911,E1488068589
A82923911,E635799819
A85640691,E4224194427
A88554519,E2893363609
A91139927,E2039358442
A92410554,E714391510
A95170590,E1690420493
A95170590,E955398943
A95170590,E1532377761
A95170590,E1390707377
A95170590,E2529072432
A95170590,E460925649
A95170590,E1971885970
A96542289,E3129233779
A96542289,E4251687494
A96542289,E2636152679
A96542289,E690774443
A96542289,E1813185314
A96542289,E3339581566
A96542289,E802414638
A96542289,E1971604001
A96542289,E1893384353
A96542289,E1292154219
A96542289,E3841696821
A96542289,E1204240464
A96542289,E779179812
A96542289,E3476214270
A96542289,E4278185210
A96542289,E160567780
A96542289,E3418426127
A96542289,E2355101450
A96542289,E2321729704
A96542289,E737340986
A96542289,E3080242563
A96931058,E2045413792
A97374877,E3129504825
A98054194,E1488068589
A102981257,E2892792634
A102981257,E3971267428
A102981257,E2460207561
A107783241,E273094339
A110310789,E3378415880
