 betweenness, representativeness
0.334316865,119
0.325531552,52
0.316656238,1
0.269910795,42
0.264355537,3
0.255328241,1
0.248968267,2
0.229746134,55
0.211192867,6
0.197959511,1
0.161341775,119
0.152929865,12
0.148001926,6
0.136744832,2
0.136130549,47
0.131599095,12
0.119982886,1
0.119447857,3
0.119219907,32
0.091765783,12
0.090175408,15
0.088937557,47
0.087080462,154
0.080568168,26
0.079482934,11
0.078815234,25
0.078330421,83
0.074076095,86
0.072540196,12
0.070503267,5
0.070455638,40
0.065881897,12
0.064879013,1
0.062949807,32
0.060733935,12
0.059520715,4
0.057574488,2
0.056551424,49
0.053606467,1
0.050798568,2
0.044801738,2
0.04156028,38
0.04075637,2
0.04075637,11
0.040596122,1
0.037250058,85
0.031221623,81
0.030714171,3
0.030607339,29
0.028812055,32
0.026632302,9
0.026332834,1
0.026144437,136
0.025876467,104
0.024746338,1
0.022096398,21
0.020645265,149
0.020565141,11
0.020565141,135
0.020565141,5
0.020565141,119
0.020557128,97
0.020511725,51
0.020511725,83
0.020511725,49
0.020511725,1
0.020511725,106
0.020511725,1
0.020511725,4
0.019550238,10
0.015509766,2
0.015386846,119
0.013168155,81
0.013139433,56
0.010603066,24
0.010309278,1
0.010309278,38
0.010309278,5
0.010309278,38
0.010309278,3
0.010309278,56
0.010309278,4
0.010309278,1
0.010309278,89
0.010309278,38
0.010309278,49
0.010309278,106
0.010309278,1
0.010309278,1
0.010309278,1
0.010309278,2
0.010309278,32
0.010309278,5
0.010309278,49
0.010309278,88
0.010309278,32
0.010309278,12
0.010309278,1
0.010309278,1
0.008423695,1
0.007419921,7
0.005989009,3
0.005880418,95
0.005790734,14
0.005127931,9
0.005127931,32
0.004187916,49
0.002205188,49
0.002205188,1
0.001766287,3
0.000443988,12
2.67E-05,1
0,38
0,8
0,80
0,47
0,1
0,1
0,2
0,12
0,1
0,33
0,14
0,1
0,2
0,8
0,6
0,5
0,23
0,27
0,16
0,9
0,13
0,12
0,49
0,49
0,83
0,1
0,49
0,2
0,1
0,14
0,56
0,5
0,99
0,32
0,1
0,11
0,12
0,49
0,15
0,38
0,2
0,78
0,104
0,85
0,93
0,1
0,1
0,145
0,87
0,2
0,49
0,13
0,116
0,6
0,60
0,4
0,38
0,1
0,61
0,3
0,1
0,13
0,1
0,75
0,61
0,66
0,14
0,2
0,86
0,32
0,39
0,98
0,49
0,10
0,1
0,1
0,37
0,38
0,47
0,123
0,2
0,61
0,12
