 betweenness, representativeness
0.409675501,31
0.250274259,31
0.218092568,61
0.189772341,2
0.187509911,4
0.169711826,9
0.163456467,37
0.150626992,40
0.136508341,61
0.136171788,31
0.123853211,5
0.119888598,9
0.115434526,9
0.106807113,83
0.104994903,1
0.092819119,96
0.088345226,30
0.085513648,30
0.073872628,6
0.072205233,30
0.071865443,30
0.071865443,8
0.071153504,1
0.065013025,17
0.059675501,40
0.059081679,1
0.058025905,9
0.056525573,11
0.054026504,43
0.052050062,18
0.04853567,3
0.047345194,31
0.044642655,30
0.042766128,9
0.04133254,30
0.036527353,20
0.036527353,31
0.036527353,61
0.036527353,1
0.036527353,6
0.036357458,30
0.036357458,6
0.036357458,1
0.034467582,85
0.033419494,9
0.028506707,13
0.024878647,2
0.02154588,42
0.021364254,31
0.018348624,30
0.018348624,31
0.018348624,71
0.018348624,6
0.018348624,5
0.018348624,5
0.018348624,2
0.018348624,31
0.017230151,40
0.009729301,30
0.001670631,48
0.001387473,30
0.000339789,1
0,1
0,30
0,2
0,31
0,1
0,32
0,3
0,2
0,61
0,31
0,5
0,30
0,70
0,13
0,43
0,2
0,1
0,46
0,30
0,1
0,1
0,1
0,30
0,31
0,31
0,37
0,15
0,3
0,1
0,5
0,2
0,2
0,3
0,4
0,1
0,1
0,2
0,1
0,55
0,7
0,31
0,1
0,31
0,31
0,2
0,2
0,70
0,15
