U1,A1538685648
U2,A715159059
U3,A2879905973
U4,A3315282129
U5,A2008761267
U6,A1191714842
U7,A483332100
U8,A384932005
U9,A2890467561
U10,A2328301807
U11,A1948333652
U12,A82923911
U13,A2356937947
U14,A4122019703
U15,A3365642090
U16,A3515391844
U17,A183275855
U18,A1369905557
U19,A3153655575
U20,A1809934947
U21,A236194065
U22,A517270916
U23,A2995967526
U24,A3592311259
U25,A3325600533
U26,A4120847672
U27,A2845673972
U28,A3221482892
U29,A3721561384
U30,A569826712
U31,A120053518
U32,A905852095
U33,A3925613292
U34,A4186528243
U35,A2048999821
U36,A1637039865
U37,A1079339663
U38,A4244109605
U39,A3834655845
U40,A3035853030
U41,A414832767
U42,A3646961870
U43,A2496837007
U44,A3986193980
U45,A2792856754
U46,A393035612
U47,A2971889961
U48,A2342735753
U49,A2212184935
U50,A3172189947
U51,A2393365897
U52,A3210206992
U53,A96542289
U54,A4179324570
U55,A2817061625
U56,A508282809
U57,A1774655165
U58,A2890295436
U59,A2164973127
U60,A2326463380
U61,A3131909049
U62,A4198845543
U63,A2257286686
U64,A2892947506
U65,A1349230619
U66,A3297493554
U67,A639409951
U68,A3621549603
U69,A2563679078
U70,A2583651606
U71,A3187292148
U72,A3910177999
U73,A3198504537
U74,A3318646261
U75,A1178274219
U76,A1304321680
U77,A1728055600
U78,A3591151863
U79,A2290297293
U80,A4188511767
U81,A307071731
U82,A168764910
U83,A3554343310
U84,A2436252940
U85,A1567970024
U86,A2388007096
U87,A3198801990
U88,A3771702031
U89,A1649320589
U90,A967361915
U91,A2692979972
U92,A282914818
U93,A2744115938
U94,A3823320698
U95,A2033945746
U96,A1302145719
U97,A2856937853
U98,A2793393083
U99,A453809966
U100,A171842881
U101,A38974975
U102,A3669048335
U103,A3719575513
U104,A2567514456
U105,A20041353
U106,A3803479601
U107,A2877985693
U108,A3198823658
U109,A3680318580
U110,A1955766052
U111,A1783276120
U112,A344906444
U113,A1553019839
U114,A825875823
U115,A3726154528
U116,A2545657612
U117,A522776668
U118,A3567042309
U119,A1857390350
U120,A1292417817
U121,A651240040
U122,A3815063730
U123,A3507534894
U124,A499079668
U125,A322814221
U126,A985547042
U127,A1834669948
U128,A2255113076
U129,A3909997753
U130,A43026617
U131,A4269216118
U132,A2034536037
U133,A1619453117
U134,A1354120181
U135,A3231004341
U136,A2884249863
U137,A4040322582
U138,A995603012
U139,A3442212683
U140,A4185115186
U141,A2251800772
U142,A712040216
U143,A1953913885
U144,A352769719
U145,A2102662137
U146,A2787637778
U147,A2340199364
U148,A1038432983
U149,A1309915074
U150,A1875891307
U151,A1666085128
U152,A2614389627
U153,A2706413631
U154,A3647725503
U155,A1484078818
U156,A4109397627
U157,A1747471686
U158,A1126868438
U159,A439279583
U160,A4115365036
U161,A3669515588
U162,A3724535659
U163,A2056142684
U164,A803166736
U165,A3685921102
U166,A3080858756
U167,A4278168842
U168,A3175354507
U169,A2467980416
U170,A4236494
U171,A2321074684
U172,A1815721382
U173,A2903662804
U174,A2464597212
U175,A2856945250
U176,A1912698965
U177,A1625052108
U178,A3138635490
U179,A2771438232
U180,A3069569833
U181,A2849010050
U182,A3835637004
U183,A107783241
U184,A4042546595
U185,A810608905
U186,A2895220130
U187,A3096870348
U188,A4157365314
U189,A4020164258
U190,A2030266367
U191,A3617843828
U192,A4239920443
U193,A2679652649
U194,A3186577794
U195,A1933513142
U196,A282487230
U197,A3751635372
U198,A3556981605
U199,A915098649
U200,A1184737011
U201,A2803741841
U202,A3898478698
U203,A895925498
U204,A1595465532
U205,A3614812788
U206,A3167658465
U207,A4137863751
U208,A1967689783
U209,A1652448351
U210,A3930126543
U211,A1931485787
U212,A2244689014
U213,A1531339765
U214,A327414596
U215,A2544817539
U216,A4165482530
U217,A3291092348
U218,A533051511
U219,A1851530247
U220,A292529766
U221,A2728047278
U222,A4135589149
U223,A2252845148
U224,A283716061
U225,A1230559341
U226,A635462786
U227,A2543824082
U228,A642317092
U229,A1287850161
U230,A3548214416
U231,A917421982
U232,A13301498
U233,A986039272
U234,A2507955484
U235,A2153152806
U236,A206173756
U237,A2777195317
U238,A2071842684
U239,A1560565543
U240,A602551909
U241,A3074133478
U242,A2863143805
U243,A2378571713
U244,A516841937
U245,A3036141956
U246,A568409249
U247,A321386359
U248,A1166204486
U249,A551538117
U250,A1815238419
U251,A1566021834
U252,A709445936
U253,A2458429643
U254,A544449933
U255,A3527940337
U256,A2238460219
U257,A267902048
U258,A156603823
U259,A3282509573
U260,A398134674
U261,A770526360
U262,A3631889944
U263,A882525479
U264,A3530946278
U265,A2713603391
U266,A738525400
U267,A1197154185
U268,A508837021
U269,A3642118045
U270,A2962003608
U271,A3548820422
U272,A1169783448
U273,A681010476
U274,A1039126403
U275,A1856999246
U276,A3502990892
U277,A836628838
U278,A1676582816
U279,A2202271093
U280,A900679620
U281,A2156846040
U282,A2669808667
U283,A2480816831
U284,A4201750807
U285,A2256989025
U286,A2962725194
U287,A2517213950
U288,A35629376
U289,A2624413719
U290,A925172794
U291,A736262792
U292,A3934266336
U293,A413292015
U294,A3943175229
U295,A458389001
U296,A653909548
U297,A3460014666
U298,A893322374
U299,A2680823346
U300,A1725995841
U301,A217443195
U302,A4044282675
U303,A185422302
U304,A3505511916
U305,A2571348801
U306,A3842862938
U307,A2148913954
U308,A1717882536
U309,A3563882371
U310,A2643058163
U311,A2282893903
U312,A2452785645
U313,A1747091728
U314,A2593432040
U315,A1965944390
U316,A3043291654
U317,A2984260178
U318,A2694023881
U319,A2222162186
U320,A1236336671
U321,A2033574675
U322,A331982192
U323,A2436389418
U324,A769376177
U325,A3903823612
U326,A1732120655
